v, Hz	U, V	I, mA	psi
115	0.554	402.2	1.047
150	0.619	379.9	0.831
200	0.675	359.9	0.725
250	0.704	346.5	0.613
300	0.72	336.8	0.462
350	0.727	329.5	0.419
400	0.730	323.7	0.362
450	0.730	318.6	0.275
500	0.729	314.1	0.242
550	0.725	309.9	0.200
600	0.721	305.9	0.219
650	0.716	302	0.157
700	0.709	298	0.172
750	0.704	294.2	0.141
800	0.697	290.4	0.150
850	0.689	286.6	0.106
900	0.681	282.8	0.056
950	0.673	279	0
1000	0.665	275.2	0
