t (s),V (mV)
0,13.7947
1.013,13.7659
2.014,13.7429
3.014,13.7298
4.018,13.7179
5.013,13.6939
6.014,13.6647
7.014,13.6425
8.014,13.6163
9.013,13.5887
10.018,13.5631
11.014,13.5398
12.013,13.5156
13.014,13.4945
14.014,13.4641
15.013,13.4385
16.018,13.4126
17.013,13.3812
18.014,13.3531
19.013,13.3326
20.014,13.3086
21.013,13.2821
22.014,13.2624
23.013,13.2477
24.014,13.2173
25.013,13.186
26.013,13.1722
27.014,13.1533
28.013,13.1279
29.013,13.1017
30.014,13.0755
31.013,13.0569
32.014,13.0243
33.014,12.9973
34.013,12.9662
35.014,12.9433
36.013,12.914
37.014,12.8906
38.014,12.8716
39.013,12.8329
40.018,12.8057
41.014,12.7777
42.014,12.7603
43.014,12.7367
44.013,12.722
45.013,12.6953
46.014,12.6691
47.014,12.646
48.014,12.6097
49.013,12.5904
50.014,12.5655
51.014,12.546
52.013,12.526
53.014,12.4939
54.013,12.4786
55.014,12.4505
56.013,12.4316
57.014,12.4074
58.013,12.3919
59.014,12.3688
60.014,12.3405
61.014,12.3175
62.013,12.296
63.014,12.2753
64.013,12.2548
65.014,12.2267
66.013,12.2074
67.013,12.1847
68.014,12.1511
69.013,12.1391
70.018,12.1249
71.014,12.0921
72.014,12.0819
73.013,12.0572
74.014,12.027
75.013,11.9972
76.014,11.9885
77.014,11.9638
78.013,11.9381
79.014,11.9155
80.014,11.904
81.013,11.875
82.018,11.8538
83.013,11.835
84.014,11.8336
85.013,11.8008
86.013,11.7674
87.014,11.7471
88.013,11.7185
89.014,11.6969
90.013,11.6867
91.015,11.6586
92.013,11.6398
93.013,11.6237
94.014,11.6051
95.014,11.5837
96.013,11.5645
97.013,11.5359
98.014,11.5188
99.014,11.5047
100.013,11.4809
101.014,11.456
102.013,11.4292
103.014,11.4125
104.013,11.3918
105.014,11.3769
106.013,11.3611
107.013,11.3462
108.014,11.3216
109.013,11.2953
110.014,11.2823
111.013,11.2621
112.013,11.2324
113.014,11.2021
114.013,11.1951
115.013,11.1636
116.014,11.1483
117.014,11.1232
118.018,11.1064
119.014,11.09
120.013,11.0659
121.014,11.0529
122.013,11.0309
123.013,11.0086
124.014,10.9838
125.014,10.9678
126.013,10.9512
127.013,10.9392
128.014,10.9123
129.014,10.9015
130.018,10.8738
131.013,10.848
132.013,10.8277
133.014,10.8027
134.013,10.7847
135.014,10.7602
136.018,10.7471
137.014,10.7251
138.013,10.7057
139.014,10.7008
140.013,10.6811
141.014,10.6578
142.013,10.6352
143.013,10.6159
144.012,10.5918
145.013,10.5764
146.012,10.5561
147.012,10.5385
148.012,10.5286
149.012,10.5069
150.013,10.4845
151.013,10.4678
152.012,10.4499
153.012,10.4317
154.013,10.4151
155.012,10.3917
156.013,10.3694
157.013,10.348
158.012,10.3252
159.012,10.3097
160.012,10.2948
161.013,10.2761
162.012,10.2567
163.012,10.2403
164.013,10.2316
165.012,10.2086
166.017,10.1798
167.013,10.1716
168.012,10.1573
169.012,10.1347
170.012,10.1189
171.013,10.0986
172.012,10.0763
173.013,10.0639
174.012,10.0277
175.012,10.027
176.013,10.0069
177.013,9.997
178.018,9.9739
179.014,9.9587
180.014,9.9446
181.013,9.9193
182.013,9.8971
183.014,9.8907
184.013,9.8701
185.013,9.8476
186.014,9.8247
187.013,9.8051
188.013,9.7867
189.014,9.774
190.013,9.7496
191.014,9.7348
192.013,9.7155
193.013,9.7016
194.014,9.6881
195.014,9.6673
196.018,9.6544
197.014,9.6307
198.014,9.6009
199.013,9.5879
200.013,9.5855
201.014,9.5607
202.013,9.5474
203.014,9.5322
204.013,9.5224
205.013,9.5041
206.014,9.4868
207.013,9.4639
208.021,9.4435
209.014,9.432
210.013,9.4266
211.014,9.4023
212.013,9.3923
213.014,9.3755
214.018,9.3492
215.014,9.3309
216.013,9.3155
217.014,9.3089
218.013,9.2907
219.013,9.2783
220.019,9.2693
221.014,9.2435
222.013,9.2242
223.014,9.2074
224.013,9.1909
