t (s),V (mV)
225.013,9.1734
226.014,9.1502
227.014,9.1386
228.013,9.1273
229.013,9.1041
230.014,9.0814
231.013,9.0615
232.013,9.0588
233.014,9.0486
234.013,9.0298
235.013,9.0208
236.014,8.9969
237.014,8.9884
238.013,8.973
239.014,8.9587
240.014,8.9429
241.013,8.9167
242.013,8.9037
243.014,8.8885
244.019,8.8816
245.014,8.8654
246.014,8.8398
247.013,8.8343
248.014,8.8225
249.013,8.8059
250.014,8.7891
251.013,8.7763
252.014,8.7613
253.013,8.7483
254.014,8.7201
255.013,8.7082
256.018,8.689
257.013,8.6753
258.014,8.6648
259.013,8.6464
260.014,8.6326
261.014,8.6134
262.013,8.5896
263.014,8.5793
264.013,8.5494
265.014,8.5526
266.013,8.524
267.014,8.5253
268.018,8.51
269.013,8.4826
270.014,8.4704
271.013,8.4546
272.014,8.4395
273.013,8.437
274.013,8.4121
275.014,8.3984
276.013,8.3766
277.014,8.3589
278.014,8.3537
279.014,8.3333
280.014,8.3246
281.013,8.3139
282.013,8.2967
283.013,8.2908
284.013,8.2736
285.013,8.2503
286.013,8.2409
287.013,8.2269
288.013,8.2059
289.013,8.1939
290.013,8.1658
291.013,8.1554
292.013,8.1427
293.013,8.129
294.014,8.1197
295.014,8.1137
296.014,8.0961
297.013,8.0853
298.014,8.0648
299.013,8.055
300.014,8.04
301.014,8.027
302.013,8.0132
303.013,7.993
304.014,7.9777
305.014,7.961
306.013,7.938
307.013,7.9305
308.014,7.9166
309.014,7.9059
310.013,7.9037
311.013,7.8849
312.014,7.8731
313.013,7.8649
314.013,7.8522
315.013,7.8287
316.013,7.8167
317.014,7.8068
318.014,7.7894
319.014,7.7773
320.013,7.7681
321.013,7.7536
322.018,7.7456
323.014,7.7224
324.013,7.7086
325.013,7.6821
326.014,7.6773
327.014,7.6517
328.018,7.6497
329.013,7.6274
330.013,7.6246
331.013,7.6113
332.013,7.5978
333.013,7.5785
334.019,7.5671
335.013,7.5565
336.013,7.5349
337.014,7.529
338.014,7.5185
339.014,7.5023
340.018,7.484
341.013,7.4664
342.013,7.4598
343.013,7.436
344.014,7.4281
345.013,7.4202
346.014,7.4115
347.014,7.406
348.013,7.3811
349.014,7.3714
350.013,7.3477
351.014,7.3496
352.013,7.3329
353.014,7.3181
354.013,7.3061
355.013,7.2983
356.013,7.2821
357.014,7.2601
358.013,7.2461
359.013,7.2339
360.013,7.2265
361.014,7.2121
362.014,7.2068
363.013,7.1935
364.013,7.1771
365.014,7.165
366.013,7.1542
367.013,7.1464
368.013,7.1344
369.014,7.1251
370.014,7.099
371.014,7.0969
372.014,7.0811
373.013,7.0727
