t (s),V (mV)
464.14,8.7807
465.139,8.7695
466.14,8.7614
467.139,8.7535
468.14,8.7466
469.139,8.7292
470.139,8.7235
471.139,8.7207
472.139,8.7068
473.14,8.695
474.139,8.685
475.139,8.6682
476.14,8.6731
477.139,8.6696
478.14,8.6518
479.139,8.6334
480.139,8.6258
481.139,8.6093
482.139,8.6129
483.14,8.6049
484.139,8.5935
485.139,8.5783
486.139,8.5673
487.139,8.5718
488.14,8.5556
489.14,8.5466
490.139,8.537
491.139,8.5221
492.14,8.513
493.139,8.5101
494.14,8.5025
495.139,8.4904
496.14,8.4883
497.14,8.4735
498.139,8.4724
499.14,8.4631
500.139,8.4474
501.14,8.4446
502.139,8.4368
503.139,8.4284
504.139,8.4189
505.139,8.4022
506.14,8.3969
507.139,8.388
508.139,8.3836
509.14,8.3682
510.139,8.3715
511.139,8.3707
512.14,8.3598
513.14,8.3408
514.139,8.3322
515.14,8.3259
516.14,8.3173
517.139,8.3146
518.14,8.3006
519.139,8.2918
520.14,8.2882
521.18,8.2648
522.143,8.2644
523.14,8.2524
524.14,8.2442
525.139,8.2441
526.14,8.2325
527.139,8.224
528.14,8.2123
529.14,8.2058
530.139,8.1963
531.139,8.1833
532.14,8.179
533.139,8.1763
534.139,8.165
535.14,8.1566
536.14,8.1487
537.14,8.1322
538.139,8.1264
539.139,8.1226
540.139,8.1171
541.14,8.1064
542.14,8.094
543.139,8.0888
544.139,8.0872
545.14,8.0776
546.139,8.07
547.14,8.0639
548.14,8.0556
549.139,8.0431
550.139,8.0378
551.14,8.0347
552.14,8.0259
553.139,8.0177
554.139,8.0142
555.14,8.0059
556.14,7.9976
557.139,7.9832
558.14,7.9823
559.139,7.9645
560.139,7.958
561.14,7.946
562.139,7.9463
563.14,7.9307
564.139,7.9276
565.139,7.9203
566.14,7.9108
567.139,7.8979
568.139,7.8861
569.139,7.8796
570.139,7.8766
571.14,7.8695
572.139,7.8529
573.139,7.8537
574.14,7.844
575.139,7.833
576.139,7.8257
577.14,7.8177
578.139,7.8182
579.14,7.7995
580.14,7.7936
581.139,7.7887
582.139,7.7767
583.14,7.7706
584.139,7.7679
585.139,7.7521
586.14,7.746
587.139,7.7441
588.139,7.7296
589.139,7.7272
590.14,7.7201
591.139,7.7116
592.139,7.7035
593.14,7.6926
594.139,7.6911
595.139,7.6884
596.14,7.6789
597.139,7.6632
598.139,7.6692
599.14,7.6492
600.139,7.646
601.14,7.6415
602.139,7.6317
603.139,7.6239
604.14,7.6139
605.139,7.6104
606.139,7.5953
607.14,7.5885
608.139,7.5909
609.139,7.5909
610.14,7.5665
611.139,7.5616
612.14,7.557
613.139,7.5445
614.14,7.5361
615.139,7.5355
616.139,7.5292
617.139,7.5178
618.14,7.5092
619.139,7.4948
620.139,7.497
621.139,7.4862
622.139,7.4806
623.14,7.4651
624.139,7.4607
625.139,7.4557
626.139,7.4457
627.14,7.4347
628.139,7.4364
629.14,7.4215
630.14,7.412
631.139,7.3948
632.139,7.4019
633.139,7.4014
