t (s),V (mV)
0,14.8956
1.049,14.8783
2.099,14.8609
3.14,14.848
4.14,14.8267
5.14,14.8138
6.139,14.7937
7.139,14.7843
8.139,14.7601
9.14,14.7413
10.14,14.7201
11.14,14.7106
12.139,14.6881
13.139,14.6662
14.139,14.6481
15.139,14.6309
16.14,14.6212
17.139,14.6058
18.139,14.5815
19.139,14.5586
20.14,14.5293
21.14,14.5111
22.139,14.487
23.139,14.4718
24.14,14.4558
25.139,14.4357
26.139,14.4164
27.14,14.3985
28.139,14.3748
29.139,14.3522
30.14,14.3286
31.14,14.31
32.139,14.2859
33.14,14.2754
34.139,14.248
35.139,14.2381
36.14,14.2196
37.139,14.2021
38.139,14.1779
39.14,14.1665
40.14,14.1381
41.14,14.1152
42.14,14.1033
43.139,14.0795
44.139,14.0654
45.139,14.0317
46.139,14.0229
47.14,14.0044
48.139,13.9903
49.14,13.971
50.14,13.9497
51.139,13.9274
52.139,13.9097
53.139,13.8934
54.139,13.8732
55.14,13.848
56.14,13.8364
57.139,13.8257
58.139,13.8077
59.139,13.7936
60.14,13.7736
61.139,13.7478
62.139,13.7334
63.139,13.723
64.139,13.6995
65.14,13.6864
66.14,13.6672
67.139,13.6471
68.139,13.6261
69.14,13.6037
70.139,13.6036
71.139,13.5788
72.139,13.5618
73.14,13.5398
74.14,13.5247
75.14,13.505
76.139,13.4855
77.14,13.4709
78.139,13.4487
79.139,13.4428
80.14,13.4205
81.139,13.3977
82.14,13.385
83.14,13.3752
84.14,13.3501
85.139,13.3381
86.14,13.3203
87.139,13.3029
88.14,13.2837
89.14,13.2727
90.14,13.257
91.139,13.234
92.14,13.2201
93.14,13.2021
94.14,13.1901
95.14,13.1756
96.14,13.1494
97.139,13.1348
98.14,13.1227
99.14,13.1125
100.139,13.0969
101.139,13.0861
102.14,13.0695
103.14,13.0523
104.139,13.0372
105.139,13.0195
106.139,13.0076
107.139,12.9949
108.14,12.9838
109.14,12.9684
110.139,12.9469
111.139,12.9319
112.14,12.9299
113.139,12.9004
114.139,12.8863
115.14,12.8641
116.139,12.8462
117.139,12.8375
118.14,12.8253
119.139,12.7962
120.14,12.7807
121.14,12.7645
122.14,12.7551
123.14,12.7381
124.139,12.7165
125.14,12.7045
126.139,12.6953
127.14,12.6827
128.139,12.6678
129.14,12.6537
130.139,12.6371
131.14,12.6233
132.139,12.6122
133.14,12.5925
134.139,12.5774
135.14,12.5603
136.139,12.5501
137.14,12.535
138.14,12.5186
139.14,12.5053
140.139,12.4852
141.14,12.476
142.14,12.4561
143.14,12.4453
144.14,12.4322
145.14,12.4194
146.139,12.4032
147.139,12.3877
148.139,12.3756
149.139,12.3625
150.14,12.3477
151.14,12.3419
152.139,12.3166
153.139,12.3097
154.14,12.2947
155.139,12.2681
156.14,12.2642
157.14,12.2506
158.139,12.2364
159.14,12.2208
160.14,12.2068
161.139,12.1936
162.139,12.1854
163.14,12.1741
164.14,12.1588
165.139,12.1474
166.139,12.132
167.14,12.1223
168.139,12.1036
169.139,12.0848
170.14,12.0668
171.139,12.051
172.139,12.04
173.14,12.03
174.14,12.0182
175.139,12
176.14,11.9769
177.14,11.9694
178.139,11.9607
179.14,11.9427
180.139,11.9267
181.14,11.917
182.139,11.9027
183.14,11.8879
184.139,11.8728
185.139,11.8645
186.14,11.852
187.139,11.8379
188.14,11.8183
189.139,11.8146
190.14,11.7968
191.14,11.7963
192.14,11.7851
193.14,11.7719
194.14,11.758
195.14,11.7411
196.14,11.7313
197.14,11.7138
198.14,11.6951
199.14,11.6851
200.139,11.6713
201.14,11.657
202.139,11.6472
203.139,11.6274
204.139,11.6258
205.14,11.6103
206.14,11.5961
207.139,11.5802
208.14,11.5594
209.14,11.5581
210.139,11.5393
211.139,11.5321
212.14,11.5137
213.139,11.5006
214.14,11.4912
215.14,11.4786
216.139,11.4709
217.139,11.4678
218.14,11.4484
219.139,11.4342
220.14,11.4272
221.139,11.4084
222.14,11.3909
223.139,11.377
224.139,11.3746
225.14,11.3546
226.139,11.3332
227.14,11.324
228.139,11.3101
229.14,11.295
230.139,11.2741
231.14,11.2643
232.139,11.2529
233.14,11.2394
234.139,11.235
235.14,11.2227
236.14,11.2072
237.139,11.2
238.14,11.1781
239.139,11.1788
240.14,11.1675
241.14,11.1436
242.14,11.1313
243.14,11.125
244.14,11.1073
245.14,11.0946
246.14,11.0819
247.14,11.0639
248.14,11.0631
249.14,11.0467
250.139,11.044
251.139,11.0329
252.14,11.0122
253.139,11.0094
254.14,10.9912
255.14,10.9794
256.14,10.9608
257.14,10.9524
258.139,10.9348
259.139,10.9259
260.14,10.9212
261.139,10.9095
262.139,10.8932
263.14,10.8847
264.139,10.8667
265.14,10.8534
266.139,10.8426
267.139,10.8255
268.14,10.8195
269.139,10.8041
270.14,10.7937
271.14,10.79
272.139,10.7733
273.14,10.7703
274.139,10.748
275.139,10.7394
276.14,10.7353
277.139,10.7233
278.14,10.7088
279.139,10.689
280.14,10.6844
281.139,10.6677
282.14,10.6683
283.139,10.6562
284.14,10.6446
285.139,10.6271
286.14,10.6234
287.139,10.6013
288.138,10.593
289.139,10.5808
290.138,10.5762
291.139,10.5674
292.138,10.5514
293.138,10.5477
294.139,10.5387
295.138,10.5192
296.138,10.5129
297.138,10.4974
298.138,10.4866
299.138,10.4748
300.138,10.4604
301.139,10.4508
302.138,10.4377
303.138,10.423
304.138,10.4098
305.138,10.4003
306.139,10.3898
307.139,10.3823
308.138,10.3709
309.138,10.3608
310.139,10.3517
311.139,10.3302
312.138,10.3232
313.138,10.3198
314.138,10.303
315.139,10.3013
316.138,10.2919
317.139,10.282
318.139,10.2722
319.138,10.2478
320.138,10.2405
321.139,10.2343
322.139,10.2226
323.138,10.2139
324.138,10.2028
325.139,10.1867
326.138,10.1707
327.138,10.1578
328.138,10.1555
329.139,10.1397
330.138,10.1254
331.138,10.122
332.139,10.107
333.138,10.0892
334.139,10.0749
335.138,10.0641
336.138,10.0596
337.139,10.0362
338.138,10.0393
339.139,10.0289
340.138,10.0235
341.138,10.007
342.139,9.9965
343.14,9.9929
344.14,9.9833
345.14,9.9749
346.14,9.9595
347.14,9.9469
348.14,9.9287
349.14,9.9286
350.14,9.915
351.14,9.9059
352.139,9.8999
353.14,9.8847
354.139,9.8717
355.14,9.8681
356.14,9.8589
357.139,9.8453
358.14,9.8311
359.139,9.8271
360.14,9.8195
361.139,9.8107
362.139,9.7967
363.14,9.7931
364.14,9.7843
365.139,9.7642
366.139,9.7579
367.14,9.7407
368.139,9.7269
369.139,9.716
370.139,9.7152
371.14,9.6982
372.139,9.6954
373.139,9.6816
374.14,9.6765
375.139,9.6613
376.14,9.6507
377.139,9.6329
378.139,9.6341
379.14,9.6157
380.139,9.6198
381.14,9.6066
382.139,9.6038
383.139,9.5974
384.14,9.5857
385.14,9.5685
386.139,9.562
387.14,9.5542
388.139,9.5379
389.139,9.5275
390.14,9.5174
391.139,9.512
392.139,9.4933
393.14,9.4807
394.139,9.4694
395.14,9.457
396.14,9.4634
397.14,9.4484
398.139,9.4427
399.139,9.4225
400.139,9.4129
401.139,9.3984
402.14,9.3974
403.139,9.3792
404.139,9.3749
405.139,9.3659
406.139,9.36
407.14,9.3554
408.14,9.3499
409.139,9.3231
410.139,9.3139
411.139,9.3047
412.14,9.2956
413.139,9.2729
414.14,9.2685
415.139,9.2554
416.14,9.2564
417.139,9.2393
418.14,9.2289
419.139,9.2211
420.14,9.2078
421.139,9.2053
422.14,9.1947
423.139,9.1833
424.14,9.1708
425.139,9.1621
426.14,9.1645
427.139,9.1518
428.139,9.1329
429.139,9.1405
430.14,9.1256
431.139,9.1136
432.139,9.1046
433.139,9.1039
434.14,9.0897
435.139,9.0795
436.14,9.0759
437.139,9.0581
438.139,9.0451
439.139,9.0355
440.139,9.0251
441.14,9.0216
442.139,9.0107
443.14,8.9982
444.139,8.9947
445.14,8.9849
446.14,8.9731
447.139,8.9633
448.139,8.9525
449.14,8.9472
450.14,8.9365
451.14,8.9232
452.14,8.9061
453.139,8.9009
454.139,8.8938
455.14,8.8827
456.14,8.8822
457.139,8.8713
458.139,8.862
459.14,8.8574
460.139,8.8496
461.139,8.8096
462.139,8.8006
463.14,8.791
