t (s),V (mV)
251.902,9.7697
252.902,9.7532
253.902,9.7389
254.902,9.7339
255.903,9.7043
256.903,9.6974
257.903,9.6878
258.902,9.6715
259.902,9.6586
260.903,9.6504
261.903,9.6337
262.902,9.6147
263.902,9.6054
264.903,9.59
265.903,9.5785
266.903,9.5565
267.902,9.534
268.903,9.5309
269.903,9.5256
270.902,9.5144
271.902,9.4962
272.903,9.4837
273.902,9.4692
274.902,9.4586
275.902,9.4421
276.902,9.4404
277.902,9.4299
278.903,9.4123
279.903,9.4018
280.903,9.3869
281.902,9.368
282.902,9.3646
283.902,9.3557
284.902,9.3372
285.902,9.3197
286.902,9.3057
287.902,9.2857
288.902,9.2667
289.902,9.2527
290.903,9.2434
291.903,9.2339
292.903,9.2062
293.903,9.2057
294.903,9.1857
295.902,9.1824
296.902,9.1585
297.902,9.1531
298.903,9.1539
299.902,9.1332
300.902,9.1268
301.903,9.1127
302.902,9.0964
303.903,9.0851
304.903,9.0643
305.902,9.0468
306.902,9.0381
307.902,9.0177
308.903,9.0078
309.902,9.0019
310.902,8.9877
311.903,8.9718
312.903,8.9586
313.902,8.9515
314.902,8.943
315.903,8.9341
316.903,8.9278
317.903,8.8946
318.902,8.8883
319.902,8.8698
320.902,8.8679
321.903,8.8582
322.903,8.8443
323.902,8.8395
324.902,8.8144
325.902,8.7962
326.902,8.7843
327.902,8.7812
328.903,8.7794
329.903,8.7563
330.903,8.7366
331.902,8.7404
332.902,8.7149
333.902,8.7138
334.902,8.694
335.902,8.6744
336.903,8.6805
337.903,8.6554
338.903,8.6579
339.903,8.6408
340.903,8.6239
341.902,8.6361
342.902,8.6242
343.903,8.6149
344.903,8.6017
345.903,8.5914
346.903,8.5663
347.902,8.549
348.903,8.5434
349.903,8.5244
350.902,8.5252
351.902,8.5107
352.903,8.4946
353.903,8.4885
354.902,8.4783
355.902,8.4795
356.903,8.4555
357.902,8.4548
358.902,8.4452
359.903,8.4182
360.902,8.4079
361.903,8.4107
362.903,8.3865
363.902,8.3751
364.902,8.366
365.903,8.3555
366.903,8.337
367.902,8.3306
368.902,8.3145
369.902,8.3064
370.903,8.2913
371.903,8.2823
372.903,8.2661
373.903,8.2559
374.902,8.247
375.902,8.2403
376.903,8.2256
377.902,8.2189
378.903,8.202
379.902,8.1871
380.902,8.1844
381.902,8.1741
382.903,8.1524
383.903,8.1452
384.902,8.1398
385.902,8.128
386.902,8.1175
387.902,8.1004
388.902,8.0894
389.902,8.0915
390.903,8.0661
391.903,8.0596
392.902,8.0536
393.902,8.0473
394.902,8.0411
395.902,8.0236
396.902,8.014
397.902,8.0023
398.903,7.9941
399.902,7.9844
400.903,7.9653
401.902,7.9422
402.902,7.9392
403.902,7.9192
404.903,7.9165
405.903,7.9127
406.902,7.8956
407.902,7.88
408.902,7.8759
409.902,7.8564
410.902,7.8491
411.903,7.8339
412.903,7.8333
413.903,7.8115
414.902,7.8092
415.902,7.8006
416.902,7.7913
417.903,7.7805
418.903,7.7714
419.902,7.7563
420.902,7.7475
421.902,7.7353
422.902,7.7179
423.903,7.7143
424.903,7.7049
425.902,7.6996
426.903,7.6956
427.903,7.6696
428.903,7.6576
429.903,7.6619
430.902,7.65
431.902,7.6436
432.902,7.6271
433.903,7.6216
434.903,7.6113
435.903,7.6033
436.903,7.5957
437.903,7.5956
438.903,7.5718
439.903,7.5606
440.903,7.5661
441.902,7.5586
442.902,7.5416
443.902,7.5465
444.902,7.5371
445.902,7.5276
446.902,7.5063
447.902,7.4995
448.902,7.4845
449.902,7.4691
450.902,7.4646
451.902,7.4533
452.902,7.438
453.902,7.4325
454.902,7.4258
455.902,7.4102
456.902,7.4025
457.902,7.381
458.902,7.3735
459.903,7.3547
460.903,7.3498
461.903,7.3344
462.903,7.3227
463.902,7.3176
464.902,7.2988
465.902,7.2988
466.903,7.2826
467.903,7.282
468.903,7.261
469.902,7.2554
470.903,7.2403
471.902,7.2175
472.902,7.2095
473.903,7.2006
474.902,7.1945
475.902,7.1917
476.903,7.1771
477.903,7.1669
478.902,7.1556
479.902,7.1557
480.903,7.1481
481.903,7.1332
482.903,7.1277
483.902,7.1138
484.902,7.1062
485.902,7.0961
486.902,7.0902
