t (s),V (mV)
0,13.9911
0.965,13.9855
1.903,13.9734
2.902,13.9607
3.902,13.9493
4.903,13.9351
5.903,13.9037
6.903,13.885
7.902,13.8647
8.902,13.8504
9.902,13.8343
10.902,13.8163
11.902,13.7957
12.902,13.7735
13.902,13.7467
14.903,13.7365
15.902,13.7144
16.903,13.6918
17.903,13.6688
18.902,13.6438
19.902,13.6288
20.903,13.6165
21.903,13.5881
22.902,13.5618
23.902,13.5538
24.902,13.5042
25.902,13.4955
26.903,13.4768
27.903,13.4653
28.903,13.4447
29.903,13.4426
30.902,13.4336
31.902,13.4131
32.902,13.3943
33.902,13.3735
34.902,13.3435
35.902,13.3207
36.903,13.3031
37.902,13.2832
38.902,13.2566
39.902,13.2427
40.902,13.2176
41.902,13.1937
42.902,13.1774
43.902,13.1569
44.902,13.1268
45.902,13.0949
46.902,13.0819
47.903,13.0757
48.903,13.0431
49.903,13.0295
50.903,13.007
51.903,12.9988
52.902,12.9823
53.902,12.9728
54.903,12.9399
55.903,12.9274
56.903,12.9057
57.902,12.8755
58.902,12.8624
59.902,12.8305
60.902,12.8151
61.903,12.8065
62.902,12.7755
63.902,12.7598
64.902,12.7469
65.903,12.7179
66.902,12.7018
67.903,12.6692
68.902,12.6658
69.902,12.6384
70.903,12.639
71.903,12.609
72.903,12.5933
73.903,12.5654
74.903,12.5536
75.903,12.5255
76.903,12.5205
77.903,12.5087
78.903,12.4882
79.903,12.4748
80.903,12.4574
81.902,12.4256
82.903,12.4027
83.903,12.389
84.902,12.3704
85.902,12.3728
86.902,12.3491
87.902,12.3274
88.903,12.2997
89.903,12.2848
90.903,12.2695
91.903,12.2595
92.903,12.2388
93.902,12.2116
94.902,12.1963
95.902,12.1794
96.902,12.1674
97.902,12.1365
98.902,12.1223
99.903,12.097
100.903,12.0761
101.903,12.072
102.903,12.0593
103.902,12.0335
104.902,12.018
105.902,11.9999
106.902,11.9863
107.902,11.9709
108.902,11.9492
109.902,11.922
110.902,11.9019
111.903,11.8784
112.903,11.8754
113.903,11.8372
114.902,11.8438
115.902,11.8274
116.903,11.8089
117.902,11.7885
118.903,11.7778
119.902,11.757
120.902,11.7541
121.903,11.7241
122.903,11.7154
123.902,11.693
124.903,11.6683
125.903,11.6555
126.903,11.647
127.902,11.6251
128.903,11.607
129.902,11.5916
130.902,11.5797
131.902,11.5686
132.902,11.5458
133.902,11.526
134.902,11.5155
135.902,11.4944
136.902,11.483
137.903,11.4551
138.902,11.4502
139.902,11.4324
140.903,11.4108
141.902,11.3989
142.902,11.3913
143.902,11.3668
144.902,11.3535
145.902,11.3328
146.902,11.3194
147.903,11.2895
148.903,11.2791
149.903,11.2662
150.902,11.2538
151.902,11.2294
152.903,11.2171
153.903,11.208
154.903,11.1955
155.902,11.1711
156.903,11.1581
157.903,11.1436
158.903,11.1336
159.902,11.107
160.902,11.0981
161.903,11.0846
162.903,11.0649
163.903,11.0455
164.903,11.0301
165.902,11.0163
166.902,10.9962
167.903,10.9845
168.903,10.9603
169.903,10.9519
170.902,10.9367
171.903,10.9223
172.902,10.9009
173.902,10.8908
174.902,10.8802
175.902,10.8627
176.903,10.8426
177.903,10.8241
178.903,10.8008
179.903,10.7906
180.903,10.7744
181.902,10.7515
182.902,10.748
183.902,10.7311
184.903,10.7158
185.902,10.6994
186.902,10.6888
187.903,10.6647
188.903,10.6577
189.902,10.6516
190.902,10.6396
191.902,10.6178
192.903,10.6038
193.902,10.5864
194.902,10.5706
195.902,10.5694
196.901,10.5533
197.902,10.5391
198.901,10.5229
199.901,10.5087
200.901,10.4877
201.901,10.4731
202.902,10.4643
203.902,10.4517
204.902,10.4315
205.902,10.4194
206.901,10.3995
207.901,10.3863
208.901,10.3707
209.902,10.364
210.902,10.3493
211.902,10.3335
212.901,10.3168
213.901,10.2898
214.901,10.2795
215.901,10.2701
216.901,10.2421
217.901,10.227
218.901,10.2141
219.901,10.2082
220.902,10.1903
221.901,10.1801
222.902,10.1619
223.901,10.1477
224.901,10.151
225.901,10.1303
226.902,10.1137
227.902,10.1077
228.901,10.0866
229.901,10.072
230.902,10.0636
231.902,10.0361
232.902,10.0159
233.902,10.0073
234.903,9.9946
235.903,9.9921
236.903,9.9646
237.903,9.9512
238.902,9.9374
239.902,9.9419
240.902,9.9108
241.902,9.9027
242.902,9.8901
243.902,9.876
244.902,9.8632
245.903,9.8454
246.903,9.8389
247.902,9.8185
248.903,9.8027
249.903,9.794
250.902,9.7764
